datetime,conditions,description,icon
20/01/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
21/01/2023,Overcast,Cloudy skies throughout the day.,cloudy
22/01/2023,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
23/01/2023,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
24/01/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
25/01/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow
26/01/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
27/01/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
28/01/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
29/01/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
30/01/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
31/01/2023,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain
01/02/2023,"Snow, Partially cloudy",Clearing in the afternoon with snow clearing later.,rain
02/02/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
03/02/2023,Partially cloudy,Partly cloudy throughout the day.,wind
04/02/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
05/02/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/02/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
07/02/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
08/02/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
09/02/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/02/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
11/02/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/02/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
13/02/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
14/02/2023,Clear,Clear conditions throughout the day.,clear-day
15/02/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/02/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
