datetime,conditions,description,icon
05/10/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/10/2023,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain
07/10/2023,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
08/10/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
09/10/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/10/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
11/10/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/10/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
13/10/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
14/10/2023,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
15/10/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
16/10/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
17/10/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
18/10/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
19/10/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
20/10/2023,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
21/10/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
22/10/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23/10/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
24/10/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
25/10/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
26/10/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
27/10/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
28/10/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
29/10/2023,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
30/10/2023,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
31/10/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
01/11/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
02/11/2023,Clear,Clear conditions throughout the day.,clear-day
03/11/2023,Clear,Clear conditions throughout the day.,clear-day
04/11/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05/11/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/11/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
07/11/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
08/11/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/11/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/11/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
11/11/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
12/11/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
13/11/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
14/11/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/11/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/11/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
17/11/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
18/11/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
19/11/2023,Clear,Clear conditions throughout the day.,clear-day
20/11/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/11/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
22/11/2023,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
23/11/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
24/11/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
25/11/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
26/11/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
27/11/2023,"Rain, Partially cloudy",Becoming cloudy in the afternoon with early morning rain.,rain
28/11/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
29/11/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
30/11/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
01/12/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
02/12/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
03/12/2023,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
04/12/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05/12/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/12/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
07/12/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/12/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/12/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/12/2023,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
11/12/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
12/12/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
13/12/2023,Clear,Clear conditions throughout the day.,clear-day
14/12/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/12/2023,Clear,Clear conditions throughout the day.,clear-day
16/12/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
17/12/2023,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
18/12/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
19/12/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/12/2023,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
21/12/2023,Clear,Clear conditions throughout the day.,clear-day
22/12/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23/12/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
24/12/2023,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
25/12/2023,Overcast,Cloudy skies throughout the day.,cloudy
26/12/2023,Overcast,Cloudy skies throughout the day.,cloudy
27/12/2023,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
28/12/2023,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
29/12/2023,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
30/12/2023,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
31/12/2023,Overcast,Cloudy skies throughout the day.,cloudy
01/01/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
02/01/2024,Clear,Clear conditions throughout the day.,clear-day
03/01/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
04/01/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05/01/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/01/2024,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow
07/01/2024,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow
08/01/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/01/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
10/01/2024,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain
11/01/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/01/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
13/01/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
14/01/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/01/2024,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow
16/01/2024,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow
17/01/2024,Clear,Clear conditions throughout the day.,clear-day
18/01/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
19/01/2024,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow in the morning and afternoon.,snow
20/01/2024,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
21/01/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/01/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23/01/2024,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain
24/01/2024,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
25/01/2024,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
26/01/2024,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
27/01/2024,Overcast,Cloudy skies throughout the day.,cloudy
28/01/2024,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
29/01/2024,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
30/01/2024,Overcast,Cloudy skies throughout the day.,cloudy
31/01/2024,Overcast,Cloudy skies throughout the day.,cloudy
01/02/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
02/02/2024,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
03/02/2024,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
04/02/2024,Clear,Clear conditions throughout the day.,clear-day
05/02/2024,Clear,Clear conditions throughout the day.,clear-day
06/02/2024,Clear,Clear conditions throughout the day.,clear-day
07/02/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/02/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/02/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/02/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
11/02/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/02/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
13/02/2024,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow
14/02/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/02/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/02/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
17/02/2024,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow
18/02/2024,Clear,Clear conditions throughout the day.,clear-day
19/02/2024,Clear,Clear conditions throughout the day.,clear-day
20/02/2024,Clear,Clear conditions throughout the day.,clear-day
21/02/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/02/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
23/02/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
24/02/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
25/02/2024,Clear,Clear conditions throughout the day.,clear-day
26/02/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
27/02/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
28/02/2024,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
29/02/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
01/03/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
02/03/2024,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
03/03/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
04/03/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05/03/2024,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
06/03/2024,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
07/03/2024,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
08/03/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/03/2024,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
10/03/2024,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
11/03/2024,Partially cloudy,Clearing in the afternoon.,wind
12/03/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
13/03/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
14/03/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/03/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/03/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
17/03/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
18/03/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
19/03/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/03/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
21/03/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/03/2024,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
23/03/2024,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
24/03/2024,Clear,Clear conditions throughout the day.,clear-day
25/03/2024,Clear,Clear conditions throughout the day.,clear-day
26/03/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
27/03/2024,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain
28/03/2024,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
29/03/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
30/03/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
31/03/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
01/04/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
02/04/2024,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
03/04/2024,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
04/04/2024,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
05/04/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/04/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
07/04/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/04/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/04/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/04/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
11/04/2024,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
12/04/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
13/04/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
14/04/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
15/04/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/04/2024,Clear,Clear conditions throughout the day.,clear-day
17/04/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
18/04/2024,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
19/04/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/04/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
21/04/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/04/2024,Clear,Clear conditions throughout the day.,clear-day
23/04/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
24/04/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
25/04/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
26/04/2024,Clear,Clear conditions throughout the day.,clear-day
27/04/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
28/04/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
29/04/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
30/04/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
01/05/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
02/05/2024,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
03/05/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
04/05/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05/05/2024,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
06/05/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
07/05/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/05/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
09/05/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/05/2024,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
11/05/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/05/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
13/05/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
14/05/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
15/05/2024,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
16/05/2024,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
17/05/2024,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain
18/05/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
19/05/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/05/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/05/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/05/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23/05/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
24/05/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
25/05/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
26/05/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
27/05/2024,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
28/05/2024,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
29/05/2024,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain
30/05/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
31/05/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
01/06/2024,Clear,Partly cloudy throughout the day.,clear-day
02/06/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
03/06/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
04/06/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05/06/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/06/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
07/06/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/06/2024,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
09/06/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/06/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
11/06/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/06/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
13/06/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
14/06/2024,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain
15/06/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
16/06/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
17/06/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
18/06/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
19/06/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/06/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/06/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/06/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
23/06/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
24/06/2024,Partially cloudy,Partly cloudy throughout the day.,wind
25/06/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
26/06/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
27/06/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
28/06/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
29/06/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
30/06/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
01/07/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
02/07/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
03/07/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
04/07/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05/07/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
06/07/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
07/07/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/07/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/07/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/07/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
11/07/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
12/07/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
13/07/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
14/07/2024,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
15/07/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
16/07/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
17/07/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
18/07/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
19/07/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/07/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/07/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/07/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
23/07/2024,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
24/07/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
25/07/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
26/07/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
27/07/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
28/07/2024,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
29/07/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
30/07/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
31/07/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
01/08/2024,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
02/08/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
03/08/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
04/08/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
05/08/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/08/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
07/08/2024,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
08/08/2024,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
09/08/2024,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
10/08/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
11/08/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/08/2024,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain
13/08/2024,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
14/08/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/08/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
16/08/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
17/08/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
18/08/2024,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
19/08/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
20/08/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/08/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/08/2024,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
23/08/2024,Clear,Clear conditions throughout the day.,clear-day
24/08/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
25/08/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
26/08/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
27/08/2024,Clear,Clear conditions throughout the day.,clear-day
28/08/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
29/08/2024,Overcast,Cloudy skies throughout the day.,cloudy
30/08/2024,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
31/08/2024,Overcast,Cloudy skies throughout the day.,cloudy
01/09/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
02/09/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
03/09/2024,Clear,Clear conditions throughout the day.,clear-day
04/09/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
05/09/2024,Clear,Clear conditions throughout the day.,clear-day
06/09/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
07/09/2024,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
08/09/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/09/2024,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
10/09/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
11/09/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/09/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
13/09/2024,Clear,Clear conditions throughout the day.,clear-day
14/09/2024,Clear,Clear conditions throughout the day.,clear-day
15/09/2024,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
16/09/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
17/09/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
18/09/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
19/09/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
20/09/2024,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
